route,ts_utc,route_total_with_delay_sec,route_total_duration_sec,route_total_distance_m,day_of_week,hour_of_day,wx_temp_c,wx_rain_mm,wx_wind_kmh,wx_location,leg_incident_count,leg_incident_delay_sum_sec,leg_incident_length_sum_m,leg_base_duration_sec,leg_base_distance_m,leg_total_duration_sec,leg_distance_km,leg_total_duration_hr,is_weekend,time_of_day_segment,rain_flag,wind_strength,feels_like_temp,extreme_weather_flag,avg_leg_speed_kmh,delay_ratio,weather_delay_interaction,incident_weather_interaction,time_weather_interaction
Hume_Highway,2025-02-13 00:00:00+00:00,42347,37561,867226,3,0,22.766666666666666,1.7,7.633333333333333,Melbourne (Olympic Park),131,4786,84391.1946040763,37561,867226,42347,867.2260000000001,11.763055555555557,0,night,1,low,22.003333333333334,0,83.11848992305849,0.1130186317802914,0.19213167402649536,999.9666666666666,0
Hume_Highway,2025-02-13 01:00:00+00:00,42873,37561,867226,3,1,21.433333333333334,0.0,13.666666666666666,Melbourne (Olympic Park),80,5312,64681.09085877278,37561,867226,42873,867.2260000000001,11.909166666666666,0,night,0,low,20.066666666666666,0,83.11848992305849,0.12390082336202272,0.0,1093.3333333333333,0
Hume_Highway,2025-02-13 02:00:00+00:00,39678,37561,867226,3,2,22.8,2.433333333333333,9.333333333333334,Melbourne (Olympic Park),111,2117,70604.97737281777,37561,867226,39678,867.2260000000001,11.021666666666668,0,night,1,low,21.866666666666667,0,83.11848992305849,0.0533545037552296,0.12982929247105868,1036.0,0
Hume_Highway,2025-02-13 03:00:00+00:00,38860,37561,867226,3,3,22.366666666666664,2.466666666666667,13.7,Melbourne (Olympic Park),126,1299,70498.12115289939,37561,867226,38860,867.2260000000001,10.794444444444444,0,night,1,low,20.996666666666663,0,83.11848992305849,0.033427689140504376,0.08245496654657747,1726.1999999999998,0
Hume_Highway,2025-02-13 04:00:00+00:00,45093,37561,867226,3,4,23.23333333333333,2.9333333333333336,14.266666666666666,Melbourne (Olympic Park),141,7532,102510.48374466944,37561,867226,45093,867.2260000000001,12.525833333333336,0,night,1,low,21.806666666666665,0,83.11848992305849,0.16703257711839975,0.4899622262139726,2011.6,0
Hume_Highway,2025-02-13 05:00:00+00:00,43188,37561,867226,3,5,22.7,0.0,7.666666666666667,Melbourne (Olympic Park),106,5627,113033.11783541464,37561,867226,43188,867.2260000000001,11.996666666666666,0,morning_peak,0,low,21.933333333333334,0,83.11848992305849,0.13029082152449756,0.0,812.6666666666667,0
Hume_Highway,2025-02-13 06:00:00+00:00,42653,37561,867226,3,6,22.53333333333333,1.8333333333333333,7.8,Melbourne (Olympic Park),123,5092,71526.31673241907,37561,867226,42653,867.2260000000001,11.848055555555556,0,morning_peak,1,low,21.75333333333333,0,83.11848992305849,0.11938198954352566,0.21886698082979705,959.4,0
Hume_Highway,2025-02-13 07:00:00+00:00,47579,37561,867226,3,7,24.33333333333333,2.1666666666666665,16.099999999999998,Melbourne (Olympic Park),115,10018,54934.83958420504,37561,867226,47579,867.2260000000001,13.216388888888888,0,morning_peak,1,low,22.72333333333333,0,83.11848992305849,0.21055507681960528,0.4562026664424781,1851.4999999999998,0
Hume_Highway,2025-02-13 08:00:00+00:00,40926,37561,867226,3,8,23.3,1.3,22.0,Melbourne (Olympic Park),119,3365,108189.18865467855,37561,867226,40926,867.2260000000001,11.368333333333334,0,morning_peak,1,medium,21.1,0,83.11848992305849,0.08222157063969115,0.1068880418315985,2618.0,0
Hume_Highway,2025-02-13 09:00:00+00:00,43883,37561,867226,3,9,23.73333333333333,0.0,13.9,Melbourne (Olympic Park),123,6322,61167.29170046575,37561,867226,43883,867.2260000000001,12.189722222222224,0,morning_peak,0,low,22.34333333333333,0,83.11848992305849,0.1440648998473213,0.0,1709.7,0
